id,name,address,city,state,zipcode,latitude,longitute,image
1,Denver Skate Park,1820 Little Raven St,Denver,CO,80202,39.758886,-105.002668,http://v2.joyengine.com/wp-content/uploads/2010/04/DenSP.jpg
2,Aurora Wheel Skate Park,2500 S. Wheel Park Circle,Aurora,CO,80013,39.675352,-104.803648,http://www.sitedesigngroup.com/img/uploaded/2657_orig.jpg
3,Lakewood Skate Park,930 S. Youngfield Ct.,Lakewood,CO,80228,39.70053,-105.140002,http://www.lakewood.org/uploadedImages/Images/Community_Resources/Parks_Forestry_Open_Space/A-Z_Parks/Lakewood_Skate_Park.jpg?n=3657
4,Weaver Hollow Skate Park,12750 W Stanford Ave,Morrison,CO,80465,39.633876,-105.141432,http://www.freeskateparks.com/images/Colorado/Weaver/weaver05.jpg
5,Cornerstone Skate Park,6000 S Gallup St,Littleton,CO,80120,39.621602,-105.000834,http://www.freeskateparks.com/images/Colorado/Cornerstone/cornerstone01.jpg
6,Arvada Skatepark,12920 W 72nd Ave,Arvada,CO,80005,39.797413,-105.1272661,http://teampain.com/obfuscate/wp-content/uploads/2012/05/wheatpano1.jpg
7,Thornton Skate Park,2141 E 95th Ave,Thornton,CO,80229,39.867634,-104.958112,http://www.coskate.com/images/skateparks/colorado/thornton/thornton-bg-01.jpg
8,McKinley Carson Skatepark,7400 E Orchard Rd #300,Greenwood Village,CO,80111,39.607898,-104.903139,http://www.coskate.com/images/skateparks/colorado/greenwood/greenwood-bg-02.jpg
9,Pioneer Skatepark,5950 Holly St,Commerce City,CO,80022,39.804883,-104.915299,http://www.skateparkmagazine.com/cd_skate/CO/commercecity/commerce-city-skatepark3.jpg
10,Tanks Skatepark,10371 S Broadway,Highlands Ranch,CO,80126,39.528228,-104.988027,http://highlandsranch.org/wp-content/uploads/2011/12/RedstoneSkatePark_sm.jpg
11,Roxborough Skatepark,7463-7635 N Rampart Range Rd,Littleton,CO,80125,39.470539, -105.073685,http://skatopia.net/gallery2/main.php?g2_view=core.DownloadItem&g2_itemId=66337&g2_serialNumber=5
12,Don Anema Memorial Skatepark,11701 Community Center Drive,Northglenn,CO,80233,39.908044,-104.983697,http://teampain.com/obfuscate/wp-content/uploads/2013/02/brids-eye.jpg
13,Westminister Skatepark,10459 N Sheridan Blvd,Westminster,CO,80020,39.886879,-105.057927,http://www.skateparkmagazine.com/cd_skate/CA-S/westminster/westminster_skatepark4.jpg
14,Broomfield Skatepark,150 Lamar St,Broomfield,CO,80020,39.916612,-105.062645,http://skateandannoy.com/wp-content/uploads/2010/12/laf1.jpg
15,Boulder Ditch Skatepark,3900 Walnut St,Boulder,CO,80301,40.018861,-105.244153,http://www.awesome-skateboard.com/images/BoulderSkatePark.jpg
16,Louisville Skatepark,Louisville Skatepark Eldorado Ln,Louisville,CO,80027,39.975581,-105.160603,http://www.louisvilleco.gov/Portals/0/Parks%20&%20Recreation/skatepark.jpg
